Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,9,12,24,2,8.3%,2,8.3%,1,1,100.0%,1,100.0%,Y
2021-2022,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,475,135,28.4%,151,31.8%,459,132,28.8%,148,32.2%,Y
2021-2022,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,360,41,11.4%,51,14.2%,360,41,11.4%,51,14.2%,Y
2021-2022,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,8,437,268,61.3%,281,64.3%,426,264,62.0%,277,65.0%,Y
2021-2022,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,176,97,55.1%,102,58.0%,170,93,54.7%,98,57.6%,Y
2021-2022,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"2,522",349,13.8%,371,14.7%,"2,499",344,13.8%,366,14.6%,Y
2021-2022,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,741,65,8.8%,67,9.0%,731,65,8.9%,67,9.2%,Y
2021-2022,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,587,200,34.1%,209,35.6%,569,200,35.1%,209,36.7%,Y
2021-2022,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,510,60,11.8%,60,11.8%,493,59,12.0%,59,12.0%,Y
2021-2022,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,331,169,51.1%,182,55.0%,317,168,53.0%,181,57.1%,Y
2021-2022,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,925,211,22.8%,233,25.2%,925,211,22.8%,233,25.2%,Y
2021-2022,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,0152,Locally funded,N,K,12,402,151,37.6%,171,42.5%,385,146,37.9%,163,42.3%,Y
2021-2022,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,384,124,32.3%,141,36.7%,384,124,32.3%,141,36.7%,Y
2021-2022,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,905,65,7.2%,68,7.5%,905,65,7.2%,68,7.5%,Y
2021-2022,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,"1,082",98,9.1%,101,9.3%,"1,061",98,9.2%,101,9.5%,Y
2021-2022,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,"1,078",385,35.7%,422,39.1%,"1,078",385,35.7%,422,39.1%,Y
2021-2022,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,633,184,29.1%,199,31.4%,623,182,29.2%,197,31.6%,Y
2021-2022,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,409,92,22.5%,99,24.2%,392,89,22.7%,96,24.5%,Y
2021-2022,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"2,315",334,14.4%,366,15.8%,"2,288",329,14.4%,359,15.7%,Y
2021-2022,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,611,140,22.9%,144,23.6%,600,139,23.2%,143,23.8%,Y
2021-2022,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,2,660,66,10.0%,69,10.5%,638,63,9.9%,66,10.3%,Y
2021-2022,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,489,142,29.0%,164,33.5%,468,141,30.1%,163,34.8%,Y
2021-2022,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,314",408,31.1%,462,35.2%,"1,270",394,31.0%,448,35.3%,Y
2021-2022,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,370,37,10.0%,40,10.8%,370,37,10.0%,40,10.8%,Y
2021-2022,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,624,55,8.8%,56,9.0%,596,54,9.1%,55,9.2%,Y
2021-2022,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,"1,527",200,13.1%,211,13.8%,"1,527",200,13.1%,211,13.8%,Y
2021-2022,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,651,102,15.7%,106,16.3%,650,101,15.5%,105,16.2%,Y
2021-2022,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,574,51,8.9%,52,9.1%,574,51,8.9%,52,9.1%,Y
2021-2022,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,474,26,5.5%,28,5.9%,474,26,5.5%,28,5.9%,Y
2021-2022,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,971",129,6.5%,138,7.0%,"1,958",128,6.5%,137,7.0%,Y
2021-2022,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,487,49,10.1%,53,10.9%,487,49,10.1%,53,10.9%,Y
2021-2022,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,575,56,9.7%,61,10.6%,566,54,9.5%,59,10.4%,Y
2021-2022,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,15,28.3%,15,28.3%,41,15,36.6%,15,36.6%,Y
2021-2022,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,441,95,21.5%,99,22.4%,441,95,21.5%,99,22.4%,Y
2021-2022,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,621,112,18.0%,115,18.5%,621,112,18.0%,115,18.5%,Y
2021-2022,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,876,97,11.1%,100,11.4%,867,97,11.2%,100,11.5%,Y
2021-2022,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,669,116,17.3%,119,17.8%,663,114,17.2%,117,17.6%,Y
2021-2022,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,155,89,57.4%,94,60.6%,124,69,55.6%,72,58.1%,Y
