Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,N ,N/A,N/A,N,P,12,318,316,99.4%,316,99.4%,266,264,99.2%,264,99.2%,Y
2020-2021,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Y,0352,Directly funded,Y,6,12,358,82,22.9%,86,24.0%,351,79,22.5%,83,23.6%,Y
2020-2021,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"1,743",322,18.5%,350,20.1%,"1,690",304,18.0%,332,19.6%,Y
2020-2021,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,N ,N/A,N/A,N,9,12,170,61,35.9%,64,37.6%,166,60,36.1%,63,38.0%,Y
2020-2021,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Y,0398,Directly funded,Y,9,12,167,135,80.8%,154,92.2%,145,118,81.4%,135,93.1%,Y
2020-2021,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,637,62,9.7%,65,10.2%,610,58,9.5%,61,10.0%,Y
2020-2021,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,583,54,9.3%,57,9.8%,583,54,9.3%,57,9.8%,Y
2020-2021,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,458,48,10.5%,49,10.7%,458,48,10.5%,49,10.7%,Y
2020-2021,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,6,12,"1,199",386,32.2%,405,33.8%,"1,176",378,32.1%,396,33.7%,Y
2020-2021,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,610,82,13.4%,90,14.8%,610,82,13.4%,90,14.8%,Y
2020-2021,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,311,58,18.6%,60,19.3%,311,58,18.6%,60,19.3%,Y
2020-2021,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,63,37,58.7%,37,58.7%,36,18,50.0%,18,50.0%,Y
2020-2021,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,848,125,14.7%,132,15.6%,848,125,14.7%,132,15.6%,Y
2020-2021,01,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,518,190,36.7%,201,38.8%,511,189,37.0%,200,39.1%,Y
2020-2021,01,61119,0139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,5,438,93,21.2%,97,22.1%,438,93,21.2%,97,22.1%,Y
2020-2021,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1066,Directly funded,Y,K,12,589,191,32.4%,195,33.1%,586,189,32.3%,193,32.9%,Y
2020-2021,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,12,37.5%,12,37.5%,28,11,39.3%,11,39.3%,Y
2020-2021,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,455,236,51.9%,252,55.4%,435,231,53.1%,247,56.8%,Y
2020-2021,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,1181,Directly funded,Y,6,8,439,192,43.7%,251,57.2%,439,192,43.7%,251,57.2%,Y
2020-2021,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1718,Directly funded,Y,K,5,303,120,39.6%,160,52.8%,303,120,39.6%,160,52.8%,Y
2020-2021,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,612,222,36.3%,233,38.1%,612,222,36.3%,233,38.1%,Y
2020-2021,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,394,133,33.8%,151,38.3%,394,133,33.8%,151,38.3%,Y
2020-2021,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"1,182",169,14.3%,181,15.3%,"1,147",163,14.2%,175,15.3%,Y
2020-2021,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,840,139,16.5%,148,17.6%,840,139,16.5%,148,17.6%,Y
2020-2021,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,542,61,11.3%,62,11.4%,523,59,11.3%,60,11.5%,Y
2020-2021,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N ,N/A,N/A,N,10,12,3,1,33.3%,1,33.3%,2,0,0.0%,0,0.0%,Y
2020-2021,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,494,72,14.6%,75,15.2%,494,72,14.6%,75,15.2%,Y
2020-2021,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,2,16.7%,2,16.7%,10,2,20.0%,2,20.0%,Y
2020-2021,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,428,113,26.4%,118,27.6%,427,113,26.5%,118,27.6%,Y
2020-2021,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,387,90,23.3%,97,25.1%,387,90,23.3%,97,25.1%,Y
2020-2021,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"3,257",739,22.7%,795,24.4%,"3,157",708,22.4%,763,24.2%,Y
2020-2021,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,10,12,32,23,71.9%,23,71.9%,30,22,73.3%,22,73.3%,Y
2020-2021,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,313,72,23.0%,77,24.6%,304,68,22.4%,73,24.0%,Y
2020-2021,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,308,81,26.3%,86,27.9%,308,81,26.3%,86,27.9%,Y
2020-2021,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,411,81,19.7%,89,21.7%,407,80,19.7%,88,21.6%,Y
2020-2021,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,291,79,27.1%,82,28.2%,291,79,27.1%,82,28.2%,Y
2020-2021,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,475,219,46.1%,252,53.1%,475,219,46.1%,252,53.1%,Y
2020-2021,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,488,117,24.0%,121,24.8%,476,112,23.5%,116,24.4%,Y
2020-2021,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,958,184,19.2%,196,20.5%,958,184,19.2%,196,20.5%,Y
2020-2021,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,19,37.3%,19,37.3%,44,15,34.1%,15,34.1%,Y
2020-2021,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,242,59,24.4%,64,26.4%,242,59,24.4%,64,26.4%,Y
2020-2021,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,419,82,19.6%,84,20.0%,411,78,19.0%,80,19.5%,Y
2020-2021,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,386,92,23.8%,100,25.9%,375,88,23.5%,96,25.6%,Y
2020-2021,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,362,105,29.0%,118,32.6%,362,105,29.0%,118,32.6%,Y
2020-2021,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,395,73,18.5%,87,22.0%,395,73,18.5%,87,22.0%,Y
2020-2021,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,634,129,20.3%,141,22.2%,634,129,20.3%,141,22.2%,Y
2020-2021,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,"1,359",281,20.7%,309,22.7%,"1,359",281,20.7%,309,22.7%,Y
2020-2021,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,474,151,31.9%,170,35.9%,453,149,32.9%,166,36.6%,Y
2020-2021,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"2,641",474,17.9%,520,19.7%,"2,610",463,17.7%,509,19.5%,Y
2020-2021,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,12,233,44,18.9%,51,21.9%,230,43,18.7%,50,21.7%,Y
2020-2021,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,458,71,15.5%,83,18.1%,458,71,15.5%,83,18.1%,Y
2020-2021,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,777,159,20.5%,184,23.7%,777,159,20.5%,184,23.7%,Y
2020-2021,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,629,72,11.4%,90,14.3%,605,70,11.6%,88,14.5%,Y
2020-2021,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,403,36,8.9%,40,9.9%,403,36,8.9%,40,9.9%,Y
2020-2021,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,491,140,28.5%,161,32.8%,491,140,28.5%,161,32.8%,Y
2020-2021,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,6,46.2%,6,46.2%,12,6,50.0%,6,50.0%,Y
2020-2021,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,139,27,19.4%,27,19.4%,139,27,19.4%,27,19.4%,Y
2020-2021,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,557,72,12.9%,76,13.6%,557,72,12.9%,76,13.6%,Y
2020-2021,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,108,41,38.0%,44,40.7%,98,38,38.8%,41,41.8%,Y
2020-2021,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,9,12,21,5,23.8%,5,23.8%,0,0,0.0%,0,0.0%,Y
2020-2021,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,489,137,28.0%,151,30.9%,477,136,28.5%,150,31.4%,Y
2020-2021,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,411,55,13.4%,60,14.6%,411,55,13.4%,60,14.6%,Y
2020-2021,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,8,494,342,69.2%,384,77.7%,486,338,69.5%,379,78.0%,Y
2020-2021,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,N ,N/A,N/A,N,9,12,204,153,75.0%,171,83.8%,200,149,74.5%,167,83.5%,Y
2020-2021,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"2,544",381,15.0%,434,17.1%,"2,519",374,14.8%,427,17.0%,Y
2020-2021,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,871,72,8.3%,79,9.1%,856,72,8.4%,79,9.2%,Y
2020-2021,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,631,180,28.5%,208,33.0%,603,174,28.9%,202,33.5%,Y
2020-2021,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,628,75,11.9%,80,12.7%,611,75,12.3%,80,13.1%,Y
2020-2021,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,380,180,47.4%,207,54.5%,365,177,48.5%,203,55.6%,Y
2020-2021,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,999,245,24.5%,300,30.0%,999,245,24.5%,300,30.0%,Y
2020-2021,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,0152,Locally funded,Y,K,12,405,122,30.1%,154,38.0%,389,116,29.8%,145,37.3%,Y
2020-2021,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,427,134,31.4%,166,38.9%,427,134,31.4%,166,38.9%,Y
2020-2021,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,"1,022",63,6.2%,72,7.0%,"1,022",63,6.2%,72,7.0%,Y
2020-2021,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,592,35,5.9%,41,6.9%,592,35,5.9%,41,6.9%,Y
2020-2021,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,"1,056",356,33.7%,431,40.8%,"1,056",356,33.7%,431,40.8%,Y
2020-2021,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,708,184,26.0%,219,30.9%,708,184,26.0%,219,30.9%,Y
2020-2021,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,447,117,26.2%,132,29.5%,433,116,26.8%,131,30.3%,Y
2020-2021,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"2,382",301,12.6%,359,15.1%,"2,353",294,12.5%,348,14.8%,Y
2020-2021,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,725,127,17.5%,149,20.6%,714,127,17.8%,149,20.9%,Y
2020-2021,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,2,770,35,4.5%,41,5.3%,747,35,4.7%,41,5.5%,Y
2020-2021,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,446,168,37.7%,198,44.4%,431,165,38.3%,194,45.0%,Y
2020-2021,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"1,393",463,33.2%,587,42.1%,"1,351",449,33.2%,566,41.9%,Y
2020-2021,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,492,61,12.4%,70,14.2%,492,61,12.4%,70,14.2%,Y
2020-2021,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,725,55,7.6%,59,8.1%,693,52,7.5%,56,8.1%,Y
2020-2021,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,"1,652",226,13.7%,267,16.2%,"1,652",226,13.7%,267,16.2%,Y
2020-2021,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,684,104,15.2%,117,17.1%,683,103,15.1%,116,17.0%,Y
2020-2021,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,680,48,7.1%,51,7.5%,680,48,7.1%,51,7.5%,Y
2020-2021,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,527,37,7.0%,42,8.0%,526,37,7.0%,42,8.0%,Y
2020-2021,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"2,063",136,6.6%,153,7.4%,"2,044",131,6.4%,148,7.2%,Y
2020-2021,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,559,54,9.7%,61,10.9%,559,54,9.7%,61,10.9%,Y
2020-2021,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,619,58,9.4%,71,11.5%,606,56,9.2%,69,11.4%,Y
2020-2021,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,17,30.9%,17,30.9%,41,15,36.6%,15,36.6%,Y
2020-2021,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,479,88,18.4%,99,20.7%,479,88,18.4%,99,20.7%,Y
2020-2021,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,787,108,13.7%,128,16.3%,762,106,13.9%,126,16.5%,Y
2020-2021,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,922,79,8.6%,92,10.0%,906,79,8.7%,92,10.2%,Y
2020-2021,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,746,130,17.4%,150,20.1%,731,129,17.6%,149,20.4%,Y
