Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2019-2020,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1,9.1%,1,9.1%,9,1,11.1%,1,11.1%,Y
2019-2020,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,3,1,33.3%,1,33.3%,3,1,33.3%,1,33.3%,Y
2019-2020,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,157",154,13.3%,173,15.0%,"1,136",151,13.3%,170,15.0%,Y
2019-2020,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,534,61,11.4%,63,11.8%,534,61,11.4%,63,11.8%,Y
2019-2020,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,849,139,16.4%,150,17.7%,849,139,16.4%,150,17.7%,Y
2019-2020,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,505,80,15.8%,86,17.0%,505,80,15.8%,86,17.0%,Y
2019-2020,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,527,150,28.5%,161,30.6%,504,149,29.6%,159,31.5%,Y
2019-2020,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,12,27.9%,12,27.9%,38,11,28.9%,11,28.9%,Y
2019-2020,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"3,255",730,22.4%,796,24.5%,"3,152",697,22.1%,762,24.2%,Y
2019-2020,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,10,12,53,37,69.8%,38,71.7%,48,33,68.8%,33,68.8%,Y
2019-2020,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,983,195,19.8%,229,23.3%,983,195,19.8%,229,23.3%,Y
2019-2020,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,701,175,25.0%,206,29.4%,701,175,25.0%,206,29.4%,Y
2019-2020,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,451,73,16.2%,84,18.6%,442,73,16.5%,82,18.6%,Y
2019-2020,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,356,89,25.0%,99,27.8%,346,84,24.3%,94,27.2%,Y
2019-2020,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,317,85,26.8%,89,28.1%,317,85,26.8%,89,28.1%,Y
2019-2020,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,443,82,18.5%,93,21.0%,428,79,18.5%,90,21.0%,Y
2019-2020,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,385,94,24.4%,109,28.3%,367,92,25.1%,107,29.2%,Y
2019-2020,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,552,135,24.5%,155,28.1%,532,127,23.9%,146,27.4%,Y
2019-2020,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,503,232,46.1%,270,53.7%,503,232,46.1%,270,53.7%,Y
2019-2020,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,263,64,24.3%,80,30.4%,263,64,24.3%,80,30.4%,Y
2019-2020,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,390,98,25.1%,118,30.3%,390,98,25.1%,118,30.3%,Y
2019-2020,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,425,81,19.1%,90,21.2%,425,81,19.1%,90,21.2%,Y
2019-2020,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,408,102,25.0%,112,27.5%,408,102,25.0%,112,27.5%,Y
2019-2020,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,316,85,26.9%,93,29.4%,316,85,26.9%,93,29.4%,Y
2019-2020,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,6,40.0%,7,46.7%,15,6,40.0%,7,46.7%,Y
2019-2020,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,22,5,22.7%,5,22.7%,0,0,0.0%,0,0.0%,Y
2019-2020,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"2,853",466,16.3%,525,18.4%,"2,803",454,16.2%,511,18.2%,Y
2019-2020,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,30,5,16.7%,5,16.7%,30,5,16.7%,5,16.7%,Y
2019-2020,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,126,53,42.1%,58,46.0%,119,49,41.2%,54,45.4%,Y
2019-2020,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,501,190,37.9%,219,43.7%,470,185,39.4%,214,45.5%,Y
2019-2020,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,469,71,15.1%,84,17.9%,469,71,15.1%,84,17.9%,Y
2019-2020,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,772,142,18.4%,164,21.2%,772,142,18.4%,164,21.2%,Y
2019-2020,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,657,88,13.4%,103,15.7%,621,85,13.7%,100,16.1%,Y
2019-2020,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,497,129,26.0%,156,31.4%,497,129,26.0%,156,31.4%,Y
2019-2020,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,145,31,21.4%,35,24.1%,145,31,21.4%,35,24.1%,Y
2019-2020,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,545,69,12.7%,79,14.5%,545,69,12.7%,79,14.5%,Y
2019-2020,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,492,127,25.8%,160,32.5%,477,126,26.4%,159,33.3%,Y
2019-2020,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,423,45,10.6%,55,13.0%,423,45,10.6%,55,13.0%,Y
2019-2020,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,"1,377",306,22.2%,338,24.5%,"1,377",306,22.2%,338,24.5%,Y
2019-2020,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,397,38,9.6%,43,10.8%,397,38,9.6%,43,10.8%,Y
2019-2020,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,227,141,62.1%,154,67.8%,222,137,61.7%,150,67.6%,Y
2019-2020,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,494,316,64.0%,353,71.5%,485,313,64.5%,350,72.2%,Y
2019-2020,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,13,25.0%,13,25.0%,42,13,31.0%,13,31.0%,Y
2019-2020,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,34,10,29.4%,11,32.4%,0,0,0.0%,0,0.0%,Y
2019-2020,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"2,519",400,15.9%,481,19.1%,"2,489",386,15.5%,465,18.7%,Y
2019-2020,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,183,92,50.3%,108,59.0%,156,80,51.3%,95,60.9%,Y
2019-2020,01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,17,3,17.6%,3,17.6%,15,3,20.0%,3,20.0%,Y
2019-2020,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0152,Locally funded,Y,K,12,385,116,30.1%,145,37.7%,380,114,30.0%,143,37.6%,Y
2019-2020,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"2,367",308,13.0%,383,16.2%,"2,353",301,12.8%,376,16.0%,Y
2019-2020,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,373",438,31.9%,588,42.8%,"1,344",427,31.8%,575,42.8%,Y
2019-2020,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"2,048",130,6.3%,151,7.4%,"2,037",125,6.1%,146,7.2%,Y
2019-2020,01,61176,0138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,930",413,21.4%,512,26.5%,"1,885",407,21.6%,503,26.7%,Y
2019-2020,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,449,132,29.4%,176,39.2%,434,130,30.0%,174,40.1%,Y
2019-2020,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,625,175,28.0%,221,35.4%,596,171,28.7%,214,35.9%,Y
2019-2020,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,377,178,47.2%,218,57.8%,377,178,47.2%,218,57.8%,Y
2019-2020,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,488,161,33.0%,217,44.5%,488,161,33.0%,217,44.5%,Y
2019-2020,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,689,179,26.0%,212,30.8%,689,179,26.0%,212,30.8%,Y
2019-2020,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,527,129,24.5%,155,29.4%,510,126,24.7%,152,29.8%,Y
2019-2020,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,687,129,18.8%,161,23.4%,673,127,18.9%,159,23.6%,Y
2019-2020,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,3,791,38,4.8%,43,5.4%,764,36,4.7%,41,5.4%,Y
2019-2020,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,626,95,15.2%,113,18.1%,624,93,14.9%,111,17.8%,Y
2019-2020,01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,604,84,13.9%,113,18.7%,590,84,14.2%,113,19.2%,Y
2019-2020,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,488,55,11.3%,71,14.5%,488,55,11.3%,71,14.5%,Y
2019-2020,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,620,59,9.5%,65,10.5%,620,59,9.5%,65,10.5%,Y
2019-2020,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,629,53,8.4%,73,11.6%,617,53,8.6%,73,11.8%,Y
2019-2020,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,597,102,17.1%,125,20.9%,597,102,17.1%,125,20.9%,Y
2019-2020,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,910,85,9.3%,103,11.3%,892,84,9.4%,101,11.3%,Y
2019-2020,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,772,140,18.1%,161,20.9%,744,137,18.4%,158,21.2%,Y
2019-2020,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,6,535,115,21.5%,139,26.0%,517,112,21.7%,134,25.9%,Y
2019-2020,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,3,6,"1,067",33,3.1%,41,3.8%,"1,067",33,3.1%,41,3.8%,Y
2019-2020,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,"1,003",232,23.1%,303,30.2%,"1,003",232,23.1%,303,30.2%,Y
2019-2020,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,"1,021",339,33.2%,439,43.0%,"1,021",339,33.2%,439,43.0%,Y
2019-2020,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,7,8,"1,178",178,15.1%,214,18.2%,"1,178",178,15.1%,214,18.2%,Y
