Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,463,356,76.9%,422,91.1%,449,347,77.3%,410,91.3%,Y
2017-2018,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,40,40,100.0%,40,100.0%,34,34,100.0%,34,100.0%,Y
2017-2018,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,375,373,99.5%,373,99.5%,308,307,99.7%,307,99.7%,Y
2017-2018,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,10,31.3%,10,31.3%,30,8,26.7%,8,26.7%,Y
2017-2018,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,187,52,27.8%,58,31.0%,184,50,27.2%,56,30.4%,Y
2017-2018,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,504,303,60.1%,337,66.9%,489,296,60.5%,329,67.3%,Y
2017-2018,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,553,154,27.8%,167,30.2%,548,154,28.1%,167,30.5%,Y
2017-2018,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,489,160,32.7%,184,37.6%,489,160,32.7%,184,37.6%,Y
2017-2018,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,415,89,21.4%,96,23.1%,415,89,21.4%,96,23.1%,Y
2017-2018,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1776,371,20.9%,410,23.1%,1688,346,20.5%,382,22.6%,Y
2017-2018,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0352,Directly funded,Y,6,12,368,104,28.3%,117,31.8%,359,101,28.1%,114,31.8%,Y
2017-2018,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,0398,Directly funded,Y,9,12,183,141,77.0%,181,98.9%,161,125,77.6%,159,98.8%,Y
2017-2018,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,203,43,21.2%,43,21.2%,203,43,21.2%,43,21.2%,Y
2017-2018,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1329,534,40.2%,587,44.2%,1289,511,39.6%,562,43.6%,Y
2017-2018,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,111,54,48.6%,58,52.3%,86,36,41.9%,39,45.3%,Y
2017-2018,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,87,28,32.2%,30,34.5%,87,28,32.2%,30,34.5%,Y
2017-2018,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,470,55,11.7%,67,14.3%,470,55,11.7%,67,14.3%,Y
2017-2018,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,644,100,15.5%,111,17.2%,644,100,15.5%,111,17.2%,Y
2017-2018,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,345,68,19.7%,73,21.2%,345,68,19.7%,73,21.2%,Y
2017-2018,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,258,46.6%,276,49.8%,540,255,47.2%,271,50.2%,Y
2017-2018,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,873,130,14.9%,150,17.2%,873,130,14.9%,150,17.2%,Y
2017-2018,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,519,225,43.4%,257,49.5%,519,225,43.4%,257,49.5%,Y
2017-2018,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,374,155,41.4%,167,44.7%,358,145,40.5%,157,43.9%,Y
2017-2018,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,643,70,10.9%,82,12.8%,616,66,10.7%,78,12.7%,Y
2017-2018,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,640,56,8.8%,71,11.1%,640,56,8.8%,71,11.1%,Y
2017-2018,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.0%,1,50.0%,2,1,50.0%,1,50.0%,Y
2017-2018,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,12,3,25.0%,6,50.0%,10,2,20.0%,4,40.0%,Y
2017-2018,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1129,202,17.9%,232,20.5%,1108,196,17.7%,223,20.1%,Y
2017-2018,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,553,68,12.3%,80,14.5%,553,68,12.3%,80,14.5%,Y
2017-2018,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,880,136,15.5%,166,18.9%,880,136,15.5%,166,18.9%,Y
2017-2018,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,508,64,12.6%,73,14.4%,508,64,12.6%,73,14.4%,Y
2017-2018,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,161,28.0%,181,31.5%,540,155,28.7%,174,32.2%,Y
2017-2018,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,8,26.7%,8,26.7%,23,7,30.4%,7,30.4%,Y
2017-2018,01,61143,0122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1254,Directly funded,Y,6,8,187,131,70.1%,143,76.5%,187,131,70.1%,143,76.5%,Y
2017-2018,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,9,12,344,213,61.9%,251,73.0%,335,207,61.8%,244,72.8%,Y
2017-2018,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3117,809,26.0%,884,28.4%,3038,783,25.8%,857,28.2%,Y
2017-2018,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,51,37,72.5%,37,72.5%,41,31,75.6%,31,75.6%,Y
2017-2018,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1024,250,24.4%,279,27.2%,1024,250,24.4%,279,27.2%,Y
2017-2018,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,634,214,33.8%,243,38.3%,634,214,33.8%,243,38.3%,Y
2017-2018,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,445,99,22.2%,105,23.6%,445,99,22.2%,105,23.6%,Y
2017-2018,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,399,128,32.1%,140,35.1%,399,128,32.1%,140,35.1%,Y
2017-2018,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,320,106,33.1%,119,37.2%,320,106,33.1%,119,37.2%,Y
2017-2018,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,408,111,27.2%,130,31.9%,408,111,27.2%,130,31.9%,Y
2017-2018,01,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,381,124,32.5%,142,37.3%,360,116,32.2%,133,36.9%,Y
2017-2018,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,126,22.9%,138,25.0%,529,125,23.6%,137,25.9%,Y
2017-2018,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,498,246,49.4%,281,56.4%,498,246,49.4%,281,56.4%,Y
2017-2018,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,290,96,33.1%,103,35.5%,290,96,33.1%,103,35.5%,Y
2017-2018,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,423,154,36.4%,181,42.8%,423,154,36.4%,181,42.8%,Y
2017-2018,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,500,131,26.2%,157,31.4%,470,123,26.2%,147,31.3%,Y
2017-2018,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,442,132,29.9%,148,33.5%,442,132,29.9%,148,33.5%,Y
2017-2018,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,296,100,33.8%,116,39.2%,296,100,33.8%,116,39.2%,Y
2017-2018,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,2,28.6%,2,28.6%,5,1,20.0%,1,20.0%,Y
2017-2018,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,13,3,23.1%,3,23.1%,0,0,0.0%,0,0.0%,Y
2017-2018,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2934,578,19.7%,698,23.8%,2884,566,19.6%,685,23.8%,Y
2017-2018,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,13,4,30.8%,4,30.8%,13,4,30.8%,4,30.8%,Y
2017-2018,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,109,48,44.0%,52,47.7%,104,44,42.3%,48,46.2%,Y
2017-2018,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,474,177,37.3%,220,46.4%,442,172,38.9%,214,48.4%,Y
2017-2018,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,468,71,15.2%,95,20.3%,468,71,15.2%,95,20.3%,Y
2017-2018,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,784,154,19.6%,194,24.7%,784,154,19.6%,194,24.7%,Y
2017-2018,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,660,95,14.4%,111,16.8%,630,92,14.6%,107,17.0%,Y
2017-2018,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,502,158,31.5%,187,37.3%,502,158,31.5%,187,37.3%,Y
2017-2018,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,145,20,13.8%,23,15.9%,145,20,13.8%,23,15.9%,Y
2017-2018,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,494,64,13.0%,86,17.4%,494,64,13.0%,86,17.4%,Y
2017-2018,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,467,113,24.2%,148,31.7%,450,112,24.9%,147,32.7%,Y
2017-2018,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,434,42,9.7%,50,11.5%,434,42,9.7%,50,11.5%,Y
2017-2018,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1388,285,20.5%,338,24.4%,1388,285,20.5%,338,24.4%,Y
2017-2018,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,420,30,7.1%,38,9.0%,420,30,7.1%,38,9.0%,Y
2017-2018,01,61168,0132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,179,117,65.4%,132,73.7%,175,115,65.7%,130,74.3%,Y
2017-2018,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,511,344,67.3%,392,76.7%,498,337,67.7%,385,77.3%,Y
2017-2018,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,9,19.6%,9,19.6%,35,7,20.0%,7,20.0%,Y
2017-2018,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,40,3,7.5%,3,7.5%,1,0,0.0%,0,0.0%,Y
2017-2018,01,61176,0130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2273,371,16.3%,439,19.3%,2249,358,15.9%,426,18.9%,Y
2017-2018,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,167,78,46.7%,83,49.7%,142,69,48.6%,74,52.1%,Y
2017-2018,01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,25,9,36.0%,9,36.0%,23,9,39.1%,9,39.1%,Y
2017-2018,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0152,Locally funded,N,K,12,347,115,33.1%,143,41.2%,332,113,34.0%,137,41.3%,Y
2017-2018,01,61176,0134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2360,305,12.9%,358,15.2%,2338,301,12.9%,354,15.1%,Y
2017-2018,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1379,408,29.6%,527,38.2%,1332,394,29.6%,510,38.3%,Y
2017-2018,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2014,110,5.5%,118,5.9%,1995,107,5.4%,114,5.7%,Y
2017-2018,01,61176,0138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1940,432,22.3%,519,26.8%,1887,416,22.0%,500,26.5%,Y
2017-2018,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,461,153,33.2%,197,42.7%,442,151,34.2%,195,44.1%,Y
2017-2018,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,718,224,31.2%,277,38.6%,692,221,31.9%,273,39.5%,Y
2017-2018,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,426,167,39.2%,217,50.9%,426,167,39.2%,217,50.9%,Y
2017-2018,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,495,208,42.0%,244,49.3%,490,206,42.0%,242,49.4%,Y
2017-2018,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,651,175,26.9%,207,31.8%,651,175,26.9%,207,31.8%,Y
2017-2018,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,510,125,24.5%,141,27.6%,491,122,24.8%,138,28.1%,Y
2017-2018,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,662,140,21.1%,184,27.8%,644,138,21.4%,181,28.1%,Y
2017-2018,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,902,36,4.0%,38,4.2%,875,35,4.0%,37,4.2%,Y
2017-2018,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,633,104,16.4%,135,21.3%,630,104,16.5%,134,21.3%,Y
2017-2018,01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,591,117,19.8%,134,22.7%,576,117,20.3%,134,23.3%,Y
2017-2018,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,636,76,11.9%,88,13.8%,636,76,11.9%,88,13.8%,Y
2017-2018,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,709,59,8.3%,66,9.3%,709,59,8.3%,66,9.3%,Y
2017-2018,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,605,61,10.1%,76,12.6%,590,59,10.0%,74,12.5%,Y
2017-2018,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,570,107,18.8%,125,21.9%,569,107,18.8%,125,22.0%,Y
2017-2018,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,881,79,9.0%,91,10.3%,870,77,8.9%,89,10.2%,Y
2017-2018,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,770,158,20.5%,177,23.0%,730,153,21.0%,172,23.6%,Y
2017-2018,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,542,132,24.4%,148,27.3%,527,130,24.7%,146,27.7%,Y
2017-2018,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,1073,47,4.4%,52,4.8%,1073,47,4.4%,52,4.8%,Y
2017-2018,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1006,230,22.9%,284,28.2%,1006,230,22.9%,284,28.2%,Y
2017-2018,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,742,247,33.3%,309,41.6%,742,247,33.3%,309,41.6%,Y
2017-2018,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1212,156,12.9%,179,14.8%,1212,156,12.9%,179,14.8%,Y
2017-2018,01,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1333,171,12.8%,209,15.7%,1333,171,12.8%,209,15.7%,Y
